id,source_row,input_text,target_gloss,warning_flag,negation_flag
1,3,انتبهي,[!!] انتبه خطر,1,0
2,4,ديري بالك,[!!] انتبه خطر,1,0
3,5,ممنوع,[!!] انتبه خطر,1,0
4,6,تحذير,[!!] انتبه خطر,1,0
5,9,حبه قبل كل وجبه بنص ساعه,3 مرات اكل قبل 30-دقيقه حبه,0,0
6,10,حبه قبل الاكل ب 30 دقيقه,3 مرات اكل قبل 30-دقيقه حبه,0,0
7,12,3 مرات قبل الاكل,3 مرات اكل قبل حبه,0,0
8,13,3 مرات يوميا قبل الاكل,3 مرات اكل قبل حبه,0,0
9,14,حبه 3 مرات قبل الاكل بساعه,3 مرات اكل قبل ساعه حبه,0,0
10,15,خده معلقه كبيره 3 مرات,3 مره ملعقه-كبيره شراب [!!],1,0
11,16,معلقه كبيره 3 مرات,3 مره ملعقه-كبيره شراب [!!],1,0
12,18,6 شهور,6 شهر,0,0
13,19,نقطتين بكل طرف,اذن يمين نقطه-نقطه اذن يسار نقطه-نقطه,0,0
14,20,قطر نقطتين بكل اذن,اذن يمين نقطه-نقطه اذن يسار نقطه-نقطه,0,0
15,23,لتلات ايام,استمرار ثلاثه يوم بس [!!],1,0
16,24,لتلات ايام بس,استمرار ثلاثه يوم بس [!!],1,0
17,25,تلات ايام ورا بعض,استمرار ثلاثه يوم بس [!!],1,0
18,27,3 مرات باليوم بعد الاكل,اكل بعد حبه [!!] معده فاضيه [NEG] لا,1,1
19,29,خده ورا الاكل,اكل بعد حبه [!!] معده فاضيه [NEG] لا,1,1
20,30,دايما ورا الاكل,اكل بعد حبه [!!] معده فاضيه [NEG] لا,1,1
21,32,ورا الاكل حصرا,اكل بعد حبه [!!] معده فاضيه [NEG] لا,1,1
22,34,ورا الاكل حصرا,اكل خلص فورا دواء [!!],1,0
23,35,بعد الاكل مباشره,اكل خلص فورا دواء [!!],1,0
24,37,مع فطور دسم,اكل دسم ثقيل لازم [!!] بيض حليب زيت [!!] دواء امتصاص صح,1,0
25,38,مع اكله دسمه,اكل دسم ثقيل لازم [!!] بيض حليب زيت [!!] دواء امتصاص صح,1,0
26,39,مع وجبه دسمه حصرا,اكل دسم ثقيل لازم [!!] بيض حليب زيت [!!] دواء امتصاص صح,1,0
27,40,لازم دسم,اكل دسم ثقيل لازم [!!] بيض حليب زيت [!!] دواء امتصاص صح,1,0
28,42,مع وجبه فيها دهون,اكل دسم ثقيل لازم [!!] بيض حليب زيت [!!] دواء امتصاص صح,1,0
29,43,مع اكله دسمه للامتصاص,اكل دسم ثقيل لازم [!!] بيض حليب زيت [!!] دواء امتصاص صح,1,0
30,44,ورا الفطور الدسم,اكل دسم ثقيل لازم [!!] بيض حليب زيت [!!] دواء امتصاص صح,1,0
31,45,مع وجبه دسمه,اكل دسم ثقيل لازم [!!] بيض حليب زيت [!!] دواء امتصاص صح,1,0
32,47,مع وجبه تقيله,اكل دسم ثقيل لازم [!!] بيض حليب زيت [!!] دواء امتصاص صح,1,0
33,48,مع اكل دسم للامتصاص الصح,اكل دسم ثقيل لازم [!!] بيض حليب زيت [!!] دواء امتصاص صح,1,0
34,49,فيك قبل او بعد الاكل,اكل قبل اكل بعد [!!] عادي [!!] دواء خذ اي وقت,1,0
35,51,مسموح قبل او بعد الاكل,اكل قبل اكل بعد [!!] عادي [!!] دواء خذ اي وقت,1,0
36,52,امن قبل وبعد الاكل,اكل قبل اكل بعد [!!] عادي [!!] دواء خذ اي وقت,1,0
37,53,فيك تاخدهم باي وقت,اكل قبل اكل بعد [!!] عادي [!!] دواء خذ اي وقت,1,0
38,54,قبل او بعد الاكل ما بيفرق,اكل قبل اكل بعد [!!] عادي [!!] دواء خذ اي وقت,1,0
39,57,خدهن وقت بدك,اكل قبل اكل بعد [!!] عادي [!!] دواء خذ اي وقت,1,0
40,58,قبل او بعد الاكل,اكل قبل اكل بعد [!!] عادي [!!] دواء خذ اي وقت,1,0
41,60,اذا حسيت بليونه بالبطن هاد طبيعي من الدوا,انتبه [!!] جسم تعب [!!] اسهال امساك دوخه [!!],1,0
